Code Year       MAB     MAB40
JPN  1957     28.44     28.14
JPN  1958     28.22     27.96
JPN  1959     28.06     27.82
JPN  1960     27.88     27.69
JPN  1961     27.80     27.63
JPN  1962     27.70     27.56
JPN  1963     27.71     27.58
JPN  1964     27.69     27.58
JPN  1965     27.70     27.59
JPN  1966     27.65     27.53
JPN  1967     27.76     27.67
JPN  1968     27.77     27.68
JPN  1969     27.78     27.69
JPN  1970     27.75     27.65
JPN  1971     27.73     27.64
JPN  1972     27.66     27.57
JPN  1973     27.64     27.55
JPN  1974     27.55     27.46
JPN  1975     27.48     27.40
JPN  1976     27.50     27.42
JPN  1977     27.59     27.51
JPN  1978     27.66     27.58
JPN  1979     27.71     27.64
JPN  1980     27.76     27.69
JPN  1981     27.84     27.77
JPN  1982     27.93     27.86
JPN  1983     28.02     27.95
JPN  1984     28.13     28.05
JPN  1985     28.26     28.19
JPN  1986     28.38     28.31
JPN  1987     28.52     28.45
JPN  1988     28.68     28.59
JPN  1989     28.81     28.72
JPN  1990     28.94     28.84
JPN  1991     29.00     28.90
JPN  1992     29.09     28.99
JPN  1993     29.19     29.08
JPN  1994     29.29     29.18
JPN  1995     29.39     29.26
JPN  1996     29.50     29.37
JPN  1997     29.57     29.42
JPN  1998     29.61     29.46
JPN  1999     29.63     29.47
JPN  2000     29.67     29.49
JPN  2001     29.67     29.49
JPN  2002     29.71     29.51
JPN  2003     29.82     29.60
JPN  2004     29.91     29.69
JPN  2005     30.00     29.75
JPN  2006     30.09     29.84
JPN  2007     30.23     29.95
JPN  2008     30.29     30.00
JPN  2009     30.40     30.09
JPN  2010     30.53     30.20
JPN  2011     30.63     30.28
JPN  2012     30.81     30.44
JPN  2013     30.96     30.56
JPN  2014     31.07     30.66
JPN  2015     31.20     30.77
JPN  2016     31.29     30.84
JPN  2017     31.37     30.91
JPN  2018     31.44     30.97
LTU  1959     29.41     28.60
LTU  1960     29.43     28.62
LTU  1961     29.04     28.22
LTU  1962     29.17     28.35
LTU  1963     29.01     28.22
LTU  1964     29.13     28.41
LTU  1965     28.78     28.07
LTU  1966     28.63     27.97
LTU  1967     28.36     27.74
LTU  1968     28.14     27.58
LTU  1969     27.91     27.39
LTU  1970     27.74     27.24
LTU  1971     27.67     27.15
LTU  1972     27.61     27.11
LTU  1973     27.57     27.09
LTU  1974     27.42     26.98
LTU  1975     27.35     26.93
LTU  1976     27.27     26.84
LTU  1977     27.13     26.73
LTU  1978     27.01     26.60
LTU  1979     26.91     26.50
LTU  1980     26.69     26.33
LTU  1981     27.11     26.72
LTU  1982     27.10     26.71
LTU  1983     27.15     26.81
LTU  1984     27.07     26.73
LTU  1985     26.84     26.52
LTU  1986     26.94     26.63
LTU  1987     26.83     26.52
LTU  1988     26.19     25.94
LTU  1989     25.91     25.69
LTU  1990     25.88     25.67
LTU  1991     25.66     25.47
LTU  1992     25.59     25.39
LTU  1993     25.65     25.42
LTU  1994     25.47     25.30
LTU  1995     25.60     25.41
LTU  1996     25.76     25.55
LTU  1997     25.99     25.79
LTU  1998     26.30     26.08
LTU  1999     26.47     26.23
LTU  2000     26.61     26.36
LTU  2001     26.82     26.56
LTU  2002     26.85     26.59
LTU  2003     27.05     26.80
LTU  2004     27.31     27.06
LTU  2005     27.51     27.25
LTU  2006     27.64     27.38
LTU  2007     27.84     27.59
LTU  2008     28.10     27.84
LTU  2009     28.52     28.28
LTU  2010     28.86     28.60
LTU  2011     28.92     28.65
LTU  2012     29.02     28.74
LTU  2013     29.15     28.85
LTU  2014     29.38     29.07
LTU  2015     29.50     29.19
LTU  2016     29.65     29.32
LTU  2017     29.84     29.48
LTU  2018     30.10     29.72
LTU  2019     30.24     29.83
NLD  1950     30.98     29.99
NLD  1951     30.82     29.85
NLD  1952     30.72     29.75
NLD  1953     30.67     29.72
NLD  1954     30.57     29.65
NLD  1955     30.44     29.56
NLD  1956     30.32     29.46
NLD  1957     30.15     29.31
NLD  1958     30.00     29.21
NLD  1959     29.89     29.11
NLD  1960     29.77     29.02
NLD  1961     29.63     28.92
NLD  1962     29.45     28.77
NLD  1963     29.32     28.67
NLD  1964     29.18     28.56
NLD  1965     28.98     28.39
NLD  1966     28.76     28.20
NLD  1967     28.54     28.01
NLD  1968     28.37     27.89
NLD  1969     28.26     27.81
NLD  1970     28.19     27.76
NLD  1971     27.96     27.57
NLD  1972     27.69     27.35
NLD  1973     27.51     27.22
NLD  1974     27.37     27.10
NLD  1975     27.35     27.12
NLD  1976     27.37     27.15
NLD  1977     27.46     27.26
NLD  1978     27.51     27.33
NLD  1979     27.60     27.44
NLD  1980     27.71     27.54
NLD  1981     27.83     27.65
NLD  1982     27.97     27.78
NLD  1983     28.08     27.91
NLD  1984     28.20     28.03
NLD  1985     28.42     28.26
NLD  1986     28.63     28.46
NLD  1987     28.84     28.68
NLD  1988     28.99     28.83
NLD  1989     29.17     28.99
NLD  1990     29.31     29.14
NLD  1991     29.47     29.28
NLD  1992     29.67     29.47
NLD  1993     29.82     29.63
NLD  1994     29.90     29.70
NLD  1995     30.04     29.84
NLD  1996     30.16     29.95
NLD  1997     30.18     29.97
NLD  1998     30.25     30.04
NLD  1999     30.27     30.05
NLD  2000     30.29     30.06
NLD  2001     30.32     30.09
NLD  2002     30.36     30.12
NLD  2003     30.43     30.19
NLD  2004     30.50     30.24
NLD  2005     30.55     30.29
NLD  2006     30.60     30.34
NLD  2007     30.64     30.37
NLD  2008     30.70     30.43
NLD  2009     30.74     30.46
NLD  2010     30.80     30.51
NLD  2011     30.86     30.56
NLD  2012     30.88     30.58
NLD  2013     30.96     30.65
NLD  2014     31.07     30.74
NLD  2015     31.18     30.85
NLD  2016     31.28     30.92
NLD  2017     31.39     31.02
NLD  2018     31.48     31.09
NOR  1967     27.54     27.08
NOR  1968     27.36     26.93
NOR  1969     27.27     26.85
NOR  1970     27.02     26.67
NOR  1971     26.89     26.56
NOR  1972     26.71     26.40
NOR  1973     26.65     26.38
NOR  1974     26.54     26.28
NOR  1975     26.43     26.20
NOR  1976     26.53     26.30
NOR  1977     26.59     26.39
NOR  1978     26.77     26.57
NOR  1979     26.79     26.62
NOR  1980     26.91     26.72
NOR  1981     26.95     26.77
NOR  1982     27.11     26.93
NOR  1983     27.28     27.12
NOR  1984     27.37     27.19
NOR  1985     27.46     27.29
NOR  1986     27.54     27.37
NOR  1987     27.71     27.54
NOR  1988     27.82     27.65
NOR  1989     27.96     27.80
NOR  1990     28.12     27.94
NOR  1991     28.29     28.10
NOR  1992     28.42     28.22
NOR  1993     28.59     28.38
NOR  1994     28.73     28.52
NOR  1995     28.84     28.62
NOR  1996     28.94     28.71
NOR  1997     29.07     28.82
NOR  1998     29.16     28.91
NOR  1999     29.25     29.00
NOR  2000     29.31     29.05
NOR  2001     29.41     29.15
NOR  2002     29.51     29.22
NOR  2003     29.65     29.38
NOR  2004     29.73     29.45
NOR  2005     29.78     29.49
NOR  2006     29.83     29.53
NOR  2007     29.89     29.58
NOR  2008     29.91     29.59
NOR  2009     29.99     29.67
NOR  2010     30.09     29.74
NOR  2011     30.25     29.89
NOR  2012     30.35     29.99
NOR  2013     30.46     30.09
NOR  2014     30.63     30.23
NOR  2015     30.73     30.33
NOR  2016     30.85     30.42
NOR  2017     30.99     30.54
NOR  2018     31.08     30.64
POL  1971     26.96     26.54
POL  1972     26.97     26.56
POL  1973     26.95     26.55
POL  1974     26.88     26.49
POL  1975     26.83     26.45
POL  1976     26.73     26.37
POL  1977     26.64     26.30
POL  1978     26.55     26.24
POL  1979     26.52     26.22
POL  1980     26.48     26.19
POL  1981     26.46     26.17
POL  1982     26.50     26.20
POL  1983     26.47     26.21
POL  1984     26.42     26.16
POL  1985     26.41     26.15
POL  1986     26.39     26.13
POL  1987     26.34     26.09
POL  1988     26.31     26.06
POL  1989     26.24     26.00
POL  1990     26.21     25.97
POL  1991     26.26     26.01
POL  1992     26.40     26.15
POL  1993     26.62     26.35
POL  1994     26.82     26.53
POL  1995     26.87     26.60
POL  1996     26.99     26.72
POL  1997     27.08     26.80
POL  1998     27.15     26.89
POL  1999     27.26     26.99
POL  2000     27.35     27.08
POL  2001     27.57     27.28
POL  2002     27.74     27.44
POL  2003     27.85     27.56
POL  2004     28.04     27.74
POL  2005     28.18     27.89
POL  2006     28.28     28.00
POL  2007     28.39     28.10
POL  2008     28.44     28.15
POL  2009     28.58     28.29
POL  2010     28.75     28.45
POL  2011     28.87     28.55
POL  2012     28.90     28.58
POL  2013     28.95     28.62
POL  2014     29.10     28.77
POL  2015     29.18     28.85
POL  2016     29.30     28.97
PRT  1940     30.53     29.21
PRT  1941     30.50     29.25
PRT  1942     30.52     29.27
PRT  1943     30.45     29.21
PRT  1944     30.55     29.30
PRT  1945     30.45     29.22
PRT  1946     30.40     29.17
PRT  1947     30.31     29.11
PRT  1948     30.35     29.12
PRT  1949     30.29     29.04
PRT  1950     30.22     28.99
PRT  1951     30.29     29.06
PRT  1952     30.27     29.01
PRT  1953     30.12     28.91
PRT  1954     30.12     28.92
PRT  1955     30.27     29.08
PRT  1956     30.10     28.95
PRT  1957     29.83     28.70
PRT  1958     29.79     28.68
PRT  1959     29.66     28.58
PRT  1960     29.55     28.51
PRT  1961     29.56     28.56
PRT  1962     29.48     28.48
PRT  1963     29.53     28.54
PRT  1964     29.47     28.50
PRT  1965     29.40     28.45
PRT  1966     29.32     28.38
PRT  1967     29.24     28.29
PRT  1968     29.17     28.26
PRT  1969     29.12     28.21
PRT  1970     29.01     28.15
PRT  1971     28.97     28.11
PRT  1972     28.85     28.01
PRT  1973     28.84     27.96
PRT  1974     28.65     27.82
PRT  1975     28.23     27.45
PRT  1976     27.57     26.85
PRT  1977     27.37     26.68
PRT  1978     27.28     26.61
PRT  1979     27.26     26.63
PRT  1980     27.17     26.56
PRT  1981     27.21     26.64
PRT  1982     27.11     26.61
PRT  1983     27.06     26.57
PRT  1984     26.99     26.55
PRT  1985     27.06     26.62
PRT  1986     27.03     26.61
PRT  1987     27.14     26.76
PRT  1988     27.15     26.80
PRT  1989     27.21     26.89
PRT  1990     27.32     27.02
PRT  1991     27.47     27.17
PRT  1992     27.59     27.31
PRT  1993     27.68     27.41
PRT  1994     27.83     27.56
PRT  1995     28.02     27.74
PRT  1996     28.14     27.87
PRT  1997     28.25     27.97
PRT  1998     28.41     28.15
PRT  1999     28.53     28.24
PRT  2000     28.61     28.30
PRT  2001     28.75     28.43
PRT  2002     28.86     28.53
PRT  2003     29.03     28.69
PRT  2004     29.16     28.79
PRT  2005     29.25     28.89
PRT  2006     29.40     29.02
PRT  2007     29.45     29.08
PRT  2008     29.56     29.19
PRT  2009     29.65     29.25
PRT  2010     29.82     29.40
PRT  2011     30.09     29.65
PRT  2012     30.17     29.72
PRT  2013     30.38     29.92
PRT  2014     30.67     30.18
PRT  2015     30.92     30.43
PRT  2016     31.12     30.57
PRT  2017     31.20     30.62
PRT  2018     31.36     30.76
KOR  2000     28.93     28.80
KOR  2001     29.13     28.99
KOR  2002     29.32     29.17
KOR  2003     29.52     29.36
KOR  2004     29.77     29.62
KOR  2005     30.00     29.84
KOR  2006     30.20     30.05
KOR  2007     30.35     30.19
KOR  2008     30.55     30.39
KOR  2009     30.72     30.55
KOR  2010     30.99     30.81
KOR  2011     31.14     30.93
KOR  2012     31.29     31.08
KOR  2013     31.49     31.27
KOR  2014     31.66     31.43
KOR  2015     31.84     31.60
KOR  2016     32.01     31.74
KOR  2017     32.22     31.93
KOR  2018     32.46     32.13
RUS  1959     28.19     27.51
RUS  1960     28.16     27.51
RUS  1961     27.76     27.17
RUS  1962     27.74     27.16
RUS  1963     27.55     26.99
RUS  1964     27.47     26.93
RUS  1965     27.47     26.95
RUS  1966     27.40     26.91
RUS  1967     27.28     26.82
RUS  1968     27.21     26.76
RUS  1969     27.06     26.66
RUS  1970     26.88     26.50
RUS  1971     26.77     26.42
RUS  1972     26.72     26.37
RUS  1973     26.63     26.29
RUS  1974     26.50     26.16
RUS  1975     26.38     26.05
RUS  1976     26.21     25.89
RUS  1977     26.10     25.80
RUS  1978     25.95     25.68
RUS  1979     25.80     25.54
RUS  1980     25.68     25.44
RUS  1981     25.74     25.52
RUS  1982     25.81     25.60
RUS  1983     25.91     25.72
RUS  1984     25.79     25.60
RUS  1985     25.78     25.59
RUS  1986     25.97     25.78
RUS  1987     25.97     25.77
RUS  1988     25.80     25.60
RUS  1989     25.51     25.32
RUS  1990     25.24     25.06
RUS  1991     25.03     24.85
RUS  1992     24.86     24.68
RUS  1993     24.66     24.49
RUS  1994     24.63     24.49
RUS  1995     24.80     24.65
RUS  1996     25.04     24.88
RUS  1997     25.23     25.08
RUS  1998     25.41     25.25
RUS  1999     25.57     25.40
RUS  2000     25.76     25.60
RUS  2001     25.93     25.77
RUS  2002     26.12     25.96
RUS  2003     26.27     26.09
RUS  2004     26.40     26.21
RUS  2005     26.53     26.33
RUS  2006     26.61     26.41
RUS  2007     26.97     26.75
RUS  2008     27.19     26.94
RUS  2009     27.39     27.12
RUS  2010     27.66     27.37
RUS  2011     27.69     27.40
RUS  2012     27.80     27.51
RUS  2013     27.93     27.61
RUS  2014     28.07     27.74
RUS  2015     28.24     27.90
RUS  2016     28.42     28.07
RUS  2017     28.50     28.12
RUS  2018     28.64     28.23
SVK  1950     28.25     27.46
SVK  1951     28.11     27.35
SVK  1952     28.07     27.34
SVK  1953     28.07     27.34
SVK  1954     27.96     27.27
SVK  1955     27.88     27.18
SVK  1956     27.62     27.01
SVK  1957     27.53     26.93
SVK  1958     27.33     26.80
SVK  1959     26.98     26.52
SVK  1960     26.88     26.41
SVK  1961     26.76     26.36
SVK  1962     26.66     26.26
SVK  1963     26.72     26.34
SVK  1964     26.75     26.36
SVK  1965     26.71     26.33
SVK  1966     26.57     26.22
SVK  1967     26.46     26.11
SVK  1968     26.34     26.01
SVK  1969     26.25     25.95
SVK  1970     26.22     25.93
SVK  1971     26.25     25.97
SVK  1972     26.21     25.95
SVK  1973     26.20     25.93
SVK  1974     26.07     25.83
SVK  1975     25.93     25.71
SVK  1976     25.86     25.65
SVK  1977     25.72     25.53
SVK  1978     25.60     25.42
SVK  1979     25.47     25.31
SVK  1980     25.34     25.18
SVK  1981     25.40     25.26
SVK  1982     25.27     25.14
SVK  1983     25.26     25.13
SVK  1984     25.18     25.06
SVK  1985     25.12     25.01
SVK  1986     25.11     25.00
SVK  1987     25.05     24.94
SVK  1988     25.09     24.99
SVK  1989     25.08     24.98
SVK  1990     25.10     24.99
SVK  1991     25.00     24.87
SVK  1992     25.13     25.00
SVK  1993     25.27     25.13
SVK  1994     25.45     25.30
SVK  1995     25.63     25.47
SVK  1996     25.82     25.67
SVK  1997     26.03     25.87
SVK  1998     26.21     26.04
SVK  1999     26.39     26.23
SVK  2000     26.61     26.42
SVK  2001     26.82     26.63
SVK  2002     27.00     26.81
SVK  2003     27.25     27.05
SVK  2004     27.43     27.21
SVK  2005     27.69     27.48
SVK  2006     27.90     27.68
SVK  2007     28.11     27.87
SVK  2008     28.28     28.04
SVK  2009     28.50     28.22
SVK  2010     28.65     28.36
SVK  2011     28.87     28.57
SVK  2012     28.94     28.64
SVK  2013     28.99     28.68
SVK  2014     29.05     28.71
SVN  1983     25.38     25.18
SVN  1984     25.35     25.15
SVN  1985     25.46     25.28
SVN  1986     25.52     25.34
SVN  1987     25.53     25.39
SVN  1988     25.64     25.49
SVN  1989     25.75     25.59
SVN  1990     25.88     25.72
SVN  1991     26.13     25.95
SVN  1992     26.18     26.01
SVN  1993     26.56     26.40
SVN  1994     26.78     26.65
SVN  1995     27.05     26.90
SVN  1996     27.28     27.13
SVN  1997     27.53     27.39
SVN  1998     27.81     27.63
SVN  1999     27.98     27.80
SVN  2000     28.20     28.02
SVN  2001     28.47     28.30
SVN  2002     28.79     28.60
SVN  2003     28.94     28.75
SVN  2004     29.20     28.97
SVN  2005     29.36     29.13
SVN  2006     29.62     29.40
SVN  2007     29.77     29.52
SVN  2008     29.91     29.67
SVN  2009     29.95     29.71
SVN  2010     30.06     29.81
SVN  2011     30.10     29.85
SVN  2012     30.12     29.82
SVN  2013     30.09     29.79
SVN  2014     30.18     29.89
SVN  2015     30.22     29.89
SVN  2016     30.33     29.97
SVN  2017     30.32     29.95
ESP  1922     31.26     30.04
ESP  1923     31.26     30.02
ESP  1924     31.42     30.12
ESP  1925     31.25     30.02
ESP  1926     31.12     29.90
ESP  1927     31.24     29.99
ESP  1928     31.14     29.88
ESP  1929     31.17     29.88
ESP  1930     31.11     29.88
ESP  1931     30.95     29.79
ESP  1932     30.84     29.70
ESP  1933     30.88     29.69
ESP  1934     30.86     29.65
ESP  1935     30.78     29.62
ESP  1936     30.78     29.59
ESP  1937     30.76     29.57
ESP  1938     31.24     29.95
ESP  1939     31.97     30.55
ESP  1940     31.13     30.01
ESP  1941     31.06     29.94
ESP  1942     30.87     29.80
ESP  1943     30.90     29.83
ESP  1944     31.00     29.91
ESP  1945     31.00     29.92
ESP  1946     31.07     29.94
ESP  1947     30.77     29.76
ESP  1948     30.78     29.73
ESP  1949     30.75     29.70
ESP  1950     30.71     29.69
ESP  1951     30.67     29.71
ESP  1952     30.65     29.69
ESP  1953     30.53     29.59
ESP  1954     30.45     29.55
ESP  1955     30.43     29.51
ESP  1956     30.17     29.35
ESP  1957     30.20     29.37
ESP  1958     30.09     29.29
ESP  1959     30.07     29.28
ESP  1960     30.09     29.32
ESP  1961     29.98     29.23
ESP  1962     29.82     29.08
ESP  1963     29.91     29.18
ESP  1964     29.90     29.16
ESP  1965     29.95     29.17
ESP  1966     29.82     29.08
ESP  1967     30.08     29.23
ESP  1968     29.65     28.93
ESP  1969     29.52     28.84
ESP  1970     29.45     28.77
ESP  1971     29.24     28.60
ESP  1972     29.16     28.52
ESP  1973     28.99     28.39
ESP  1974     28.88     28.26
ESP  1975     28.66     28.06
ESP  1976     28.56     27.96
ESP  1977     28.46     27.88
ESP  1978     28.37     27.81
ESP  1979     28.25     27.71
ESP  1980     28.21     27.67
ESP  1981     28.23     27.71
ESP  1982     28.33     27.81
ESP  1983     28.38     27.88
ESP  1984     28.43     27.95
ESP  1985     28.46     28.00
ESP  1986     28.53     28.11
ESP  1987     28.57     28.18
ESP  1988     28.58     28.22
ESP  1989     28.72     28.38
ESP  1990     28.86     28.55
ESP  1991     29.04     28.74
ESP  1992     29.26     28.97
ESP  1993     29.48     29.20
ESP  1994     29.74     29.46
ESP  1995     29.99     29.71
ESP  1996     30.21     29.94
ESP  1997     30.40     30.12
ESP  1998     30.57     30.28
ESP  1999     30.68     30.37
ESP  2000     30.75     30.43
ESP  2001     30.77     30.43
ESP  2002     30.80     30.44
ESP  2003     30.85     30.48
ESP  2004     30.88     30.49
ESP  2005     30.91     30.50
ESP  2006     30.90     30.46
ESP  2007     30.84     30.38
ESP  2008     30.83     30.35
ESP  2009     31.04     30.52
ESP  2010     31.20     30.66
ESP  2011     31.44     30.87
ESP  2012     31.56     30.94
ESP  2013     31.67     31.01
ESP  2014     31.78     31.11
ESP  2015     31.90     31.22
ESP  2016     32.00     31.29
ESP  2017     32.08     31.34
ESP  2018     32.20     31.42
SWE  1891     32.44     30.73
SWE  1892     32.36     30.66
SWE  1893     32.38     30.70
SWE  1894     32.38     30.66
SWE  1895     32.24     30.58
SWE  1896     32.18     30.52
SWE  1897     32.12     30.46
SWE  1898     32.03     30.43
SWE  1899     31.97     30.36
SWE  1900     31.92     30.33
SWE  1901     31.82     30.25
SWE  1902     31.78     30.22
SWE  1903     31.75     30.20
SWE  1904     31.71     30.18
SWE  1905     31.71     30.17
SWE  1906     31.62     30.09
SWE  1907     31.53     30.03
SWE  1908     31.41     29.94
SWE  1909     31.41     29.95
SWE  1910     31.40     29.94
SWE  1911     31.39     29.94
SWE  1912     31.33     29.87
SWE  1913     31.27     29.82
SWE  1914     31.22     29.75
SWE  1915     31.28     29.79
SWE  1916     31.24     29.79
SWE  1917     31.23     29.76
SWE  1918     31.23     29.77
SWE  1919     31.03     29.67
SWE  1920     30.79     29.44
SWE  1921     30.76     29.40
SWE  1922     30.86     29.48
SWE  1923     30.85     29.48
SWE  1924     30.83     29.47
SWE  1925     30.66     29.34
SWE  1926     30.62     29.30
SWE  1927     30.49     29.22
SWE  1928     30.41     29.14
SWE  1929     30.28     29.04
SWE  1930     30.13     28.94
SWE  1931     30.04     28.89
SWE  1932     29.96     28.84
SWE  1933     29.94     28.81
SWE  1934     29.89     28.80
SWE  1935     29.68     28.68
SWE  1936     29.66     28.67
SWE  1937     29.52     28.59
SWE  1938     29.42     28.52
SWE  1939     29.35     28.47
SWE  1940     29.19     28.35
SWE  1941     29.18     28.38
SWE  1942     29.36     28.60
SWE  1943     29.29     28.56
SWE  1944     29.14     28.43
SWE  1945     28.99     28.28
SWE  1946     28.87     28.15
SWE  1947     28.67     27.95
SWE  1948     28.56     27.84
SWE  1949     28.42     27.75
SWE  1950     28.18     27.55
SWE  1951     28.03     27.41
SWE  1952     27.92     27.32
SWE  1953     27.83     27.26
SWE  1954     27.79     27.24
SWE  1955     27.66     27.14
SWE  1956     27.60     27.11
SWE  1957     27.59     27.11
SWE  1958     27.54     27.08
SWE  1959     27.47     27.03
SWE  1960     27.46     27.03
SWE  1961     27.41     27.01
SWE  1962     27.31     26.93
SWE  1963     27.31     26.94
SWE  1964     27.24     26.89
SWE  1965     27.15     26.81
SWE  1966     27.06     26.74
SWE  1967     27.01     26.69
SWE  1968     27.02     26.74
SWE  1969     27.07     26.78
SWE  1970     26.96     26.70
SWE  1971     26.84     26.60
SWE  1972     26.76     26.54
SWE  1973     26.73     26.54
SWE  1974     26.69     26.50
SWE  1975     26.70     26.53
SWE  1976     26.87     26.69
SWE  1977     26.98     26.81
SWE  1978     27.18     27.01
SWE  1979     27.45     27.26
SWE  1980     27.56     27.38
SWE  1981     27.72     27.52
SWE  1982     27.88     27.68
SWE  1983     28.04     27.84
SWE  1984     28.25     28.03
SWE  1985     28.36     28.14
SWE  1986     28.41     28.19
SWE  1987     28.50     28.29
SWE  1988     28.52     28.30
SWE  1989     28.56     28.34
SWE  1990     28.58     28.35
SWE  1991     28.72     28.48
SWE  1992     28.87     28.62
SWE  1993     28.98     28.72
SWE  1994     29.13     28.86
SWE  1995     29.22     28.94
SWE  1996     29.36     29.07
SWE  1997     29.47     29.16
SWE  1998     29.71     29.40
SWE  1999     29.78     29.46
SWE  2000     29.85     29.53
SWE  2001     30.00     29.67
SWE  2002     30.07     29.73
SWE  2003     30.25     29.91
SWE  2004     30.37     30.01
SWE  2005     30.45     30.09
SWE  2006     30.54     30.17
SWE  2007     30.59     30.20
SWE  2008     30.58     30.19
SWE  2009     30.68     30.27
SWE  2010     30.74     30.32
SWE  2011     30.82     30.38
SWE  2012     30.87     30.42
SWE  2013     30.93     30.48
SWE  2014     30.97     30.50
SWE  2015     30.98     30.51
SWE  2016     31.05     30.56
SWE  2017     31.13     30.60
SWE  2018     31.12     30.62
SWE  2019     31.27     30.72
CHE  1932     30.38     29.55
CHE  1933     30.31     29.49
CHE  1934     30.26     29.46
CHE  1935     30.22     29.43
CHE  1936     30.22     29.43
CHE  1937     30.16     29.40
CHE  1938     30.17     29.43
CHE  1939     30.02     29.32
CHE  1940     29.99     29.29
CHE  1941     30.06     29.34
CHE  1942     30.10     29.42
CHE  1943     30.09     29.41
CHE  1944     30.05     29.37
CHE  1945     30.02     29.33
CHE  1946     29.98     29.29
CHE  1947     29.81     29.13
CHE  1948     29.68     29.01
CHE  1949     29.59     28.95
CHE  1950     29.57     28.92
CHE  1951     29.48     28.84
CHE  1952     29.41     28.79
CHE  1953     29.36     28.75
CHE  1954     29.32     28.71
CHE  1955     29.22     28.60
CHE  1956     29.13     28.55
CHE  1957     28.97     28.38
CHE  1958     28.86     28.31
CHE  1959     28.80     28.25
CHE  1960     28.71     28.17
CHE  1961     28.56     28.05
CHE  1962     28.43     27.93
CHE  1963     28.32     27.85
CHE  1964     28.27     27.82
CHE  1965     28.18     27.73
CHE  1966     28.15     27.70
CHE  1967     28.05     27.59
CHE  1968     27.98     27.55
CHE  1969     27.91     27.50
CHE  1970     27.80     27.41
CHE  1971     27.70     27.34
CHE  1972     27.65     27.30
CHE  1973     27.59     27.26
CHE  1974     27.54     27.26
CHE  1975     27.54     27.26
CHE  1976     27.62     27.37
CHE  1977     27.75     27.54
CHE  1978     27.83     27.62
CHE  1979     27.81     27.64
CHE  1980     27.87     27.69
CHE  1981     27.89     27.73
CHE  1982     27.96     27.80
CHE  1983     28.05     27.89
CHE  1984     28.19     28.02
CHE  1985     28.37     28.22
CHE  1986     28.50     28.35
CHE  1987     28.69     28.53
CHE  1988     28.76     28.61
CHE  1989     28.92     28.75
CHE  1990     28.95     28.79
CHE  1991     28.98     28.80
CHE  1992     29.11     28.91
CHE  1993     29.21     29.02
CHE  1994     29.35     29.15
CHE  1995     29.41     29.21
CHE  1996     29.52     29.31
CHE  1997     29.62     29.39
CHE  1998     29.68     29.44
CHE  1999     29.70     29.45
CHE  2000     29.84     29.58
CHE  2001     30.02     29.73
CHE  2002     30.11     29.81
CHE  2003     30.24     29.93
CHE  2004     30.39     30.07
CHE  2005     30.55     30.21
CHE  2006     30.67     30.31
CHE  2007     30.85     30.46
CHE  2008     31.00     30.60
CHE  2009     31.18     30.76
CHE  2010     31.26     30.83
CHE  2011     31.42     30.97
CHE  2012     31.53     31.06
CHE  2013     31.60     31.12
CHE  2014     31.75     31.24
CHE  2015     31.83     31.29
CHE  2016     31.86     31.31
CHE  2017     31.95     31.39
CHE  2018     32.05     31.48
TWN  1976     26.50     26.27
TWN  1977     26.27     26.07
TWN  1978     26.22     26.03
TWN  1979     26.10     25.95
TWN  1980     26.12     25.97
TWN  1981     26.12     25.99
TWN  1982     26.15     26.02
TWN  1983     26.23     26.12
TWN  1984     26.29     26.19
TWN  1985     26.40     26.30
TWN  1986     26.48     26.37
TWN  1987     26.62     26.53
TWN  1988     26.84     26.77
TWN  1989     26.95     26.86
TWN  1990     27.07     26.98
TWN  1991     27.19     27.10
TWN  1992     27.28     27.19
TWN  1993     27.37     27.27
TWN  1994     27.51     27.41
TWN  1995     27.62     27.51
TWN  1996     27.74     27.63
TWN  1997     27.88     27.78
TWN  1998     27.99     27.86
TWN  1999     28.14     28.02
TWN  2000     28.21     28.08
TWN  2001     28.21     28.06
TWN  2002     28.27     28.13
TWN  2003     28.43     28.28
TWN  2004     28.56     28.40
TWN  2005     28.83     28.66
TWN  2006     29.11     28.93
TWN  2007     29.44     29.26
TWN  2008     29.72     29.52
TWN  2009     30.05     29.83
TWN  2010     30.40     30.14
TWN  2011     30.61     30.36
TWN  2012     30.74     30.47
TWN  2013     30.96     30.63
TWN  2014     31.09     30.76
UKR  1959     27.51     27.06
UKR  1960     27.45     27.03
UKR  1961     27.21     26.80
UKR  1962     27.23     26.81
UKR  1963     27.09     26.68
UKR  1964     27.08     26.68
UKR  1965     27.10     26.71
UKR  1966     27.04     26.67
UKR  1967     26.89     26.54
UKR  1968     26.73     26.40
UKR  1969     26.69     26.38
UKR  1970     26.51     26.22
UKR  1971     26.45     26.17
UKR  1972     26.35     26.07
UKR  1973     26.36     26.07
UKR  1974     26.20     25.93
UKR  1975     26.14     25.86
UKR  1976     25.94     25.68
UKR  1977     25.91     25.66
UKR  1978     25.69     25.45
UKR  1979     25.55     25.33
UKR  1980     25.42     25.22
UKR  1981     25.53     25.33
UKR  1982     25.43     25.24
UKR  1983     25.54     25.37
UKR  1984     25.39     25.22
UKR  1985     25.36     25.19
UKR  1986     25.47     25.30
UKR  1987     25.36     25.19
UKR  1988     25.23     25.06
UKR  1989     25.05     24.88
UKR  1990     24.80     24.64
UKR  1991     24.65     24.49
UKR  1992     24.52     24.37
UKR  1993     24.50     24.35
